flash,ram,text,code,rodata,data,bss,dec,hex,filename,filename
4544,29,4538,4022,516,6,23,4567,`11d7,tcp.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
5404,64,5404,5404,0,0,64,5468,`155c,tcp_in.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
3391,0,3391,3314,77,0,0,3391,`d3f,tcp_out.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
516,12,516,460,56,0,12,528,`210,timeouts.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
2403,6,2401,1848,553,2,4,2407,`967,udp.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
304,0,304,292,12,0,0,304,`130,ethernet.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
132,5,132,120,12,0,5,137,`89,dhcp-server-main.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
225,4,225,220,5,0,4,229,`e5,modemif.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
1446,48,1446,1320,126,0,48,1494,`5d6,ppp.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
160,0,160,160,0,0,0,160,`a0,pppapi.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
2152,48,2152,1590,562,0,48,2200,`898,pppos.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
770,0,770,600,170,0,0,770,`302,upap.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
1492,0,1492,1456,36,0,0,1492,`5d4,utils.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
2182,0,2182,2182,0,0,0,2182,`886,vj.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
48,0,48,48,0,0,0,48,`30,lwip_hooks.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
275,0,275,270,5,0,0,275,`113,wlanif.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
814,8,814,716,98,0,8,822,`336,sys_arch.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
2622,0,2622,1984,638,0,0,2622,`a3e,api_lib.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
4168,0,4168,4126,42,0,0,4168,`1048,api_msg.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
96,0,96,28,68,0,0,96,`60,err.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
202,0,202,146,56,0,0,202,`ca,netbuf.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
408,297,408,408,0,0,297,705,`2c1,netdb.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
624,0,624,624,0,0,0,624,`270,icmp.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
2567,232,2563,2500,63,4,228,2795,`aeb,dhcp-server.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
681,0,681,504,177,0,0,681,`2a9,auth.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
4577,0,4577,4122,455,0,0,4577,`11e1,ipcp.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
5242,0,5242,4714,528,0,0,5242,`147a,lcp.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
44,4,44,44,0,0,4,48,`30,magic.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
2165,0,2165,1944,221,0,0,2165,`875,fsm.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
0,24,0,0,0,0,24,24,`18,ip.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
82467,5012,81979,74356,7623,488,4524,86991,`153cf,armino/lwip_intf_v2_1/liblwip_intf_v2_1.a,armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
1052,128,1048,724,324,4,124,1176,`498,wdrv_main.c.obj (ex armino/bk_wifi_driver/libbk_wifi_driver.a),armino/bk_wifi_driver/libbk_wifi_driver.a
1739,2712,1735,1446,289,4,2708,4447,`115f,wdrv_cntrl.c.obj (ex armino/bk_wifi_driver/libbk_wifi_driver.a),armino/bk_wifi_driver/libbk_wifi_driver.a
1532,0,1532,1180,352,0,0,1532,`5fc,wdrv_tx.c.obj (ex armino/bk_wifi_driver/libbk_wifi_driver.a),armino/bk_wifi_driver/libbk_wifi_driver.a
678,0,678,542,136,0,0,678,`2a6,wdrv_rx.c.obj (ex armino/bk_wifi_driver/libbk_wifi_driver.a),armino/bk_wifi_driver/libbk_wifi_driver.a
92,0,92,92,0,0,0,92,`5c,wdrv_co_list.c.obj (ex armino/bk_wifi_driver/libbk_wifi_driver.a),armino/bk_wifi_driver/libbk_wifi_driver.a
368,72,368,276,92,0,72,440,`1b8,wdrv_ipc.c.obj (ex armino/bk_wifi_driver/libbk_wifi_driver.a),armino/bk_wifi_driver/libbk_wifi_driver.a
5461,2912,5453,4260,1193,8,2904,8365,`20ad,armino/bk_wifi_driver/libbk_wifi_driver.a,armino/bk_wifi_driver/libbk_wifi_driver.a
6542,86,6542,4510,2032,0,86,6628,`19e4,wifi_api.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
5442,0,5442,2908,2534,0,0,5442,`1542,wifi_cli.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
221,0,221,176,45,0,0,221,`dd,wifi_api_ipc.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
254,10,254,176,78,0,10,264,`108,phy_client.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
99,4,99,76,23,0,4,103,`67,phy_notify.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
12558,100,12558,7846,4712,0,100,12658,`3172,armino/bk_wifi/libbk_wifi.a,armino/bk_wifi/libbk_wifi.a
764,0,764,764,0,0,0,764,`2fc,celt_pitch_xcorr_arm-gnu.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
1474,84,1474,1306,168,0,84,1558,`616,tal_time_serivce.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
616,8,616,488,128,0,8,624,`270,tal_workq_service.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
1006,1,1006,1006,0,0,1,1007,`3ef,mix_method.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
218,4,218,120,98,0,4,222,`de,tuya_base_utilities.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
1088,0,1088,64,1024,0,0,1088,`440,crc32i.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
228,0,228,228,0,0,0,228,`e4,uni_log.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
80,0,80,80,0,0,0,80,`50,uni_base64.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
192,28,168,168,0,24,4,196,`c4,tuya_ring_buffer_adapter.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
7528,36,7524,4976,2548,4,32,7560,`1d88,tuya_ring_buffer.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
2598,172,2426,1732,694,172,0,2598,`a26,tal_wifi_reconnet.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
3455,204,3267,2810,457,188,16,3471,`d8f,tal_wifi.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
1707,28,1707,1622,85,0,28,1735,`6c7,base_event.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
126,0,126,126,0,0,0,126,`7e,tuya_iot_internal_api.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
830,1,830,544,286,0,1,831,`33f,tuya_iot_com_api.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
23867,8,23867,18112,5755,0,8,23875,`5d43,tuya_media_service_rtc.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
3968,21,3968,3354,614,0,21,3989,`f95,tuya_p2p_lite_platform.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
4084,20,4072,4022,50,12,8,4092,`ffc,tuya_p2p_lite_cJSON.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
5012,20,5000,4950,50,12,8,5020,`139c,ty_cJSON.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
6732,56,6676,5646,1030,56,0,6732,`1a4c,tuya_p2p_lite_sdp.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
8601,4,8597,7126,1471,4,0,8601,`2199,tuya_p2p_lite_ice.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
2049,0,2049,1538,511,0,0,2049,`801,tuya_p2p_lite_stun_socket.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
4435,8,4435,4238,197,0,8,4443,`115b,tuya_p2p_lite_ikcp.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
8435,1208,7235,5508,1727,1200,8,8443,`20fb,tuya_p2p_lite_stun_message.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
2841,8,2833,2560,273,8,0,2841,`b19,tuya_p2p_lite_stun_session.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
1186,0,1186,1102,84,0,0,1186,`4a2,tuya_p2p_lite_misc.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
1965,0,1965,92,1873,0,0,1965,`7ad,tuya_p2p_lite_error.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
102,0,102,102,0,0,0,102,`66,tuya_p2p_lite_mempool.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
2035,0,2035,1614,421,0,0,2035,`7f3,tuya_ws_db.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
534,8,534,494,40,0,8,542,`21e,kv_storge.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
5644,0,5644,3498,2146,0,0,5644,`160c,opus_decoder.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
699,0,699,586,113,0,0,699,`2bb,entdec.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
668,0,668,668,0,0,0,668,`29c,opus.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
2129,0,2129,1916,213,0,0,2129,`851,dec_API.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
490,0,490,352,138,0,0,490,`1ea,decode_pulses.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
192,0,192,192,0,0,0,192,`c0,stereo_decode_pred.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
1519,0,1519,1136,383,0,0,1519,`5ef,celt.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
248,0,248,248,0,0,0,248,`f8,code_signs.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
600,0,600,52,548,0,0,600,`258,entcode.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
42,0,42,42,0,0,0,42,`2a,init_decoder.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
380,0,380,380,0,0,0,380,`17c,stereo_MS_to_LR.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
735,0,735,384,351,0,0,735,`2df,decoder_set_fs.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
1058,0,1058,828,230,0,0,1058,`422,resampler.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
17886,96,17802,12666,5136,84,12,17898,`45ea,iot_httpc.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
7537,64,7537,5362,2175,0,64,7601,`1db1,tuya_cert_manager.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
5273,448,5273,4100,1173,0,448,5721,`1659,mqc_app.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
7133,60,7073,6054,1019,60,0,7133,`1bdd,tuya_svc_mqtt_client.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
3263,16,3263,2456,807,0,16,3279,`ccf,com_protocol.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
782,0,782,540,242,0,0,782,`30e,cipher_wrapper.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
3751,216,3751,3280,471,0,216,3967,`f7f,log_seq.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
2885,60,2857,1972,885,28,32,2917,`b65,tuya_register_center.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
2442,112,2442,1880,562,0,112,2554,`9fa,uni_network.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
4539,3309,4502,3170,1332,37,3272,7811,`1e83,tuya_tls.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
3333,152,3329,2100,1229,4,148,3481,`d99,tuya_svc_online_log.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
196,0,196,116,80,0,0,196,`c4,svc_online_log_mqtt.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
900,40,900,864,36,0,40,940,`3ac,tal_sw_timer.c.o (ex /home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a),/home/jiayi/project/T5_TuyaOS-3.13.6/software/TuyaOS/libs/libtuyaos.a
